,Unnamed: 0,AltimetriaNorm,AmplitudeNorm,concavoConvNorm,CurvaturaNegativaNorm,CurvaturaPositivaNorm,DeclividadeNorm,GeomIgualA1,GeomIgualA2,GeomIgualA3,GeomIgualA4,GeomIgualA5,GeomIgualA6,GeomIgualA7,GeomIgualA8,OrientacaoEncosta=1,OrientacaoEncosta=2,OrientacaoEncosta=3,OrientacaoEncosta=4,OrientacaoEncosta=5,OrientacaoEncosta=6,OrientacaoEncosta=7,OrientacaoEncosta=8,OrientacaoEncosta=9,UsoSolo=1,UsoSolo=2,UsoSolo=3,UsoSolo=4,UsoSolo=5,positivoDeRisco
GeomIgualA4,-0.08691434176785322,0.04521359499881903,0.0016530420603155676,-0.014760142512916616,0.019360769976571678,0.022125793915154252,-0.004570523690836316,-0.034430895644874365,-0.062249581911959895,-0.044694145236091824,1.0,-0.005594099348718179,-0.018364120362357683,-0.01689716554650371,-0.059018717988027575,-0.013001446047046148,-0.031506764086083126,-0.012337220766576642,-0.008290066014250044,0.05485351316451589,0.004967114382119781,-0.011506051851741158,0.020119606603441566,-0.019576678304856755,-0.014812091655433042,0.024656969786113793,-0.011336974908335493,-0.0018119838596907087,-0.006837466897663931,0.0077713740281529185
GeomIgualA5,-0.009925711504766656,-0.022602491921350075,-0.02162637268287247,-0.00864901352262085,0.007219156295874894,-0.007121977247366243,-0.027763335906608462,-0.02265738780470324,-0.040963584932741076,-0.029411160013336934,-0.005594099348718179,1.0,-0.012084582435308409,-0.01111924698492039,-0.03883750207906,-0.008555653275713657,-0.01029707347770263,0.08060132069679793,0.07797591371929981,0.002948594060578875,-0.025364496933262846,-0.024775248165829832,-0.028076655901743446,-0.024788261703118934,-0.009747155818918407,-0.01657266647455721,0.02027419934416145,-0.0011923831848091606,-0.004499422283405268,-0.03928854799346654
GeomIgualA6,0.060722075145374366,0.08763687309141417,0.06717730769114155,-0.011001275114200251,-0.03633372617137087,-0.00016022664037400737,0.057329459720535346,-0.07437890727437185,-0.13447387278713396,-0.09654996252517585,-0.018364120362357683,-0.012084582435308409,1.0,-0.03650188837216474,-0.1274944398182273,-0.008652095039621138,-0.04830382967925412,-0.03923537942697298,0.006355741687453752,0.041005053827896966,0.07246941652844639,0.009839770767607448,-0.0022813001753469436,-0.051634645928912905,-0.008405997820813665,-0.03194034486424494,-0.02395318572573843,-0.003914315238053476,0.22659646456050767,-0.02265492544390342
GeomIgualA7,0.20476927974741774,0.06085354351584347,-0.010670602608003413,0.010556780944548429,-0.012441665575268572,0.02770557697474495,0.024967149208528806,-0.06843740318537632,-0.12373188834148005,-0.0888373996742647,-0.01689716554650371,-0.01111924698492039,-0.03650188837216474,1.0,-0.11730998345466997,-0.02584263895692963,0.08918230425048639,-0.00872625606781382,-0.04767863953577009,-0.02945485331472985,-0.012367704204769053,0.002933717060037863,-6.469825510163756e-05,0.012193938480756582,-0.02944161253009907,-0.017220800277200965,0.020190997516250538,-0.0036016335807821085,0.04053482587685654,0.010634573330297168
GeomIgualA8,-0.23353382810383846,-0.5185320161141382,-0.15587736715365666,-0.04505769655823474,0.12464620782632782,-0.22682016868942195,-0.2925361219334252,-0.23903936949157784,-0.432172922970606,-0.3102928372061034,-0.059018717988027575,-0.03883750207906,-0.1274944398182273,-0.11730998345466997,1.0,0.20184465901177687,-0.04089744307211853,-0.03430284029237658,-0.013752012408479734,-0.016551742550506423,-0.01990482044913968,-0.03139459137795809,0.020943076800026057,0.03476214840906273,-0.024109872403657556,-0.0951193353779207,0.10499296400595036,-0.005366232678410972,-0.047469685162832335,0.03310334852422649
OrientacaoEncosta=1,0.02117448423551384,-0.19198438148974326,-0.0700769161109018,-0.03581723694055342,0.11239303609830803,-0.18607168562160317,-0.19755404843209617,-0.05265884403306914,-0.08617329962580601,-0.06716987134344718,-0.013001446047046148,-0.008555653275713657,-0.008652095039621138,-0.02584263895692963,0.20184465901177687,1.0,-0.048186657503982766,-0.03658261668783282,-0.04086405221121951,-0.053130974751259906,-0.058950533022538276,-0.057581038921638225,-0.06525395852533108,-0.05761128414827872,-0.022653712884240056,-0.03668620848370808,0.04557174941977691,-0.0027712603367054814,-0.01045726799148406,-0.07465943518871224
OrientacaoEncosta=2,0.04190978021017938,0.11304455357201336,-0.022793359644022064,0.015477532087685195,-0.019893920891009737,0.07229427275113706,0.04906628321749253,-0.030078756157041996,0.02775117826460015,0.031507192382940634,-0.031506764086083126,-0.01029707347770263,-0.04830382967925412,0.08918230425048639,-0.04089744307211853,-0.048186657503982766,1.0,-0.08865166762717862,-0.09902698884118154,-0.12875376178106665,-0.14285645842533934,-0.1395377254630528,-0.1581317239253325,-0.13961101955800734,-0.014614386090069143,-0.059419759549991936,0.06381711077156638,-0.0067156718824767135,-0.022490125478351348,-0.06365881393441258
OrientacaoEncosta=3,-0.020046759957473223,0.08784805427083174,0.03204118765010639,-0.013995446672147787,-0.034900182158336096,0.03169833340144728,0.05530979687413933,0.02266673116134189,0.01036319631896672,0.0226166053349443,-0.012337220766576642,0.08060132069679793,-0.03923537942697298,-0.00872625606781382,-0.03430284029237658,-0.03658261668783282,-0.08865166762717862,1.0,-0.07517986434787179,-0.09774800242089479,-0.10845456669259038,-0.10593503240366296,-0.12005132835925869,-0.1059906762254126,-0.01463175560391519,-0.04170102404624825,0.04793959562914187,-0.005098441415188493,-0.0192388161846053,-0.12892706162602863
OrientacaoEncosta=4,-0.06909562089725935,-0.02758560535636693,0.027402507209463647,-0.009419169732176175,-0.002318731548413816,0.0032698396747431963,0.008891541047940535,0.08640166105005802,-0.04566213334740504,0.006079158940411671,-0.008290066014250044,0.07797591371929981,0.006355741687453752,-0.04767863953577009,-0.013752012408479734,-0.04086405221121951,-0.09902698884118154,-0.07517986434787179,1.0,-0.10918791043709801,-0.12114751423294691,-0.11833310700758158,-0.13410149940773847,-0.11839526308723199,-0.0235016800745214,-0.03370342675214778,0.04318656664674375,0.018808769930656832,-0.014963501288069383,-0.16035735186037486
OrientacaoEncosta=5,-0.04145844402051787,-0.045541078383600525,-0.03372383388899422,-0.010086020247243444,-0.030754899675662258,-0.006677052791906749,0.012699899978078615,0.07887632221388946,-0.05463602875611832,-0.0017903434093206173,0.05485351316451589,0.002948594060578875,0.041005053827896966,-0.02945485331472985,-0.016551742550506423,-0.053130974751259906,-0.12875376178106665,-0.09774800242089479,-0.10918791043709801,1.0,-0.1575146166762434,-0.1538553564917909,-0.17435724049853435,-0.15393617111783064,-0.013209553133181586,-0.030795389372650955,0.036369989059553465,-0.007404750852365137,-0.012076041496513874,-0.2238632684545735
